Project,Id,Comment
youtube-dl,10,https://github.com/ytdl-org/youtube-dl/commit/d305dd73a3d6927f0a2c63d08662a183fa173833
thefuck,9,https://github.com/nvbn/thefuck/commit/feb36ede5c518fdc3b6eddf945b2d8b1e2294d15
thefuck,29,https://github.com/nvbn/thefuck/commit/88831c424f569e6a55fc98883d3eeecc7d425b18
scrapy,38,https://github.com/scrapy/scrapy/commit/6c3970e6722191b642fd99c6c1bfed0d93010cab
youtube-dl,43,https://github.com/ytdl-org/youtube-dl/commit/d6c7a367e88096bb17e323954002c084477fe908
black,19,https://github.com/psf/black/commit/29e97d1d4a7717f1bd0ca35cacf2f2ce6d815b0c
luigi,18,https://github.com/spotify/luigi/commit/c521d59c5eacf6c19ce3c17a62f73e042fa0556e
keras,22,https://github.com/keras-team/keras/commit/ee02d256611b17d11e37b86bd4f618d7f2a37d84
pandas,63,https://github.com/pandas-dev/pandas/commit/e1ca66bae38b8026079dfcbe0edad5f278546608
scrapy,17,https://github.com/scrapy/scrapy/commit/65c7c05060fd2d1fc161d4904243d5e0b31e202b
luigi,19,https://github.com/spotify/luigi/commit/6cffbf438d023441f7f42c2019a51c62eecd9018
luigi,13,https://github.com/spotify/luigi/commit/a8e64fe7f83d69702166a44c7e8cb9470ff31040
matplotlib,27,https://github.com/matplotlib/matplotlib/commit/02f25d60139b160fd9b321802b4a2f6c6f3f8672
pandas,61,https://github.com/pandas-dev/pandas/commit/f7e2b74f1bcc1d1cbebbc42481e33f0abb2843dc
luigi,8,https://github.com/spotify/luigi/commit/8874b93165953c4f6bbe7b747804654d13290018
keras,9,https://github.com/keras-team/keras/commit/0505393746d56ddacc34bb1c016dba79429c9ac9
youtube-dl,27,https://github.com/ytdl-org/youtube-dl/commit/db2fe38b5508cbd28b89893219d9cccd41406851
pandas,140,https://github.com/pandas-dev/pandas/commit/4375daffeed16531bae3fdaf85324b590d1dcb59
keras,27,https://github.com/keras-team/keras/commit/b076e227da6beaf87d6c84eff1a92285e4662acf
pandas,135,https://github.com/pandas-dev/pandas/commit/f41219179de69fed5c2a4b7df821394af1aa6559
scrapy,29,https://github.com/scrapy/scrapy/commit/8d45b3c4810cb5304ba1193b45697a0df1157326
pandas,130,https://github.com/pandas-dev/pandas/commit/8efc717e4652e1e4bfbc4455da1d40eb676eed91
pandas,25,https://github.com/pandas-dev/pandas/commit/73d614403759831814ef7ab83ef1e4aaa645b33a
black,8,https://github.com/psf/black/commit/6b994fdb8ab70ce4c2eafb8f2f0ff2648f3ff1ef
pandas,117,https://github.com/pandas-dev/pandas/commit/f98d2b6587b74c9a640b062d94911b199d962119
black,21,https://github.com/psf/black/commit/8e7848c63efe36f09e4651bece8c0efc34a1c3e1
pandas,76,https://github.com/pandas-dev/pandas/commit/47922d3b00edfc264f73b1484589734bbd077c11
thefuck,18,https://github.com/nvbn/thefuck/commit/c3b1ba763708b8faaaf55717c436c4cd4c57a7ea
pandas,4,https://github.com/pandas-dev/pandas/commit/2250ddfaff92abaff20a5bcd78315f5d4bd44981
pandas,28,https://github.com/pandas-dev/pandas/commit/ef9b9387c88cf12b20dd8656dfedfc236e0f3352
keras,25,https://github.com/keras-team/keras/commit/84e168b5fa55933e02e767ff7c86fcc0232aecc6
luigi,1,https://github.com/spotify/luigi/commit/aec5dc2ed8db53fc282a0bd24aabe59031b6d1ba
keras,31,https://github.com/keras-team/keras/commit/e2a10a5e6e156a45e946c4d08db7133f997c1f9a
scrapy,12,https://github.com/scrapy/scrapy/commit/2c9a38d1f54a12c33d7c9a19e021c840c4a32dee
matplotlib,10,https://github.com/matplotlib/matplotlib/commit/1986da3968ee76c6bce8f4c04aed80e23bd4ecfa
youtube-dl,26,https://github.com/ytdl-org/youtube-dl/commit/47212f7bcbd59af40f91796562a6b72ba0439ac4
pandas,129,https://github.com/pandas-dev/pandas/commit/82c9547ddcaf2fd70e00f1368731f14a03bbac88
luigi,15,https://github.com/spotify/luigi/commit/736c0f1352463c20ece84f2f651bcd37fd2b88ae
scrapy,40,https://github.com/scrapy/scrapy/commit/f1d971a5c0cdfe0f4fe5619146cd6818324fc98e
black,16,https://github.com/psf/black/commit/42a3fe53319a8c02858c2a96989ed1339f84515a
httpie,4,https://github.com/jakubroztocil/httpie//commit/040d981f00c3f6830b2d0db3daf3c64c080e96e3
luigi,28,https://github.com/spotify/luigi/commit/e2be971226c34a193d7029c51206e488b6a037cd
luigi,26,https://github.com/spotify/luigi/commit/13673fd488c25325db633b1d49e664fb937fabc2
pandas,52,https://github.com/pandas-dev/pandas/commit/7017599821e02ba95282848c12f7d3b5f2ce670a
pandas,10,https://github.com/pandas-dev/pandas/commit/e1ee2b0679e5999c993a787606d30e75faaba7a2
cookiecutter,1,https://github.com/cookiecutter/cookiecutter/commit/7f6804c4953a18386809f11faf4d86898570debc
